Cod_Producto,Ingreso_Neto_Promedio,Suma_Ingresos_Netos
471,39.7510,6678.1680
540,20.4076,17509.7208
580,618.4800,152146.0800
588,349.7116,44763.0848
481,5.6277,1677.0546
472,39.7510,7910.4490
322,285.9519,4861.1823
362,943.2882,189600.9282
321,296.2834,16295.5870
593,256.7721,10014.1119
597,245.4103,12025.1047
375,860.8787,121383.8967
530,3.1237,4648.0656
368,924.5636,133137.1584
385,394.7883,27240.3927
596,245.4103,11779.6944
587,349.7116,51757.3168
332,285.9519,5147.1342
577,459.6992,44590.8224
384,407.4102,81074.6298
606,196.3404,75787.3944
329,296.2834,18369.5708
336,285.9519,6290.9418
350,1476.8956,88613.7360
388,407.4102,85556.1420
578,459.6992,48728.1152
333,296.2834,17184.4372
222,21.9037,46545.3625
330,285.9519,5719.0380
604,196.3404,70682.5440
372,888.4021,119045.8814
539,15.6437,14486.0662
346,1487.8356,72903.9444
599,245.4103,13742.9768
360,943.2882,176394.8934
355,1054.3705,413313.2360
353,1054.3705,444944.3510
386,407.4102,96556.2174
325,296.2834,17480.7206
473,39.7510,7751.4450
581,618.4800,145342.8000
363,1043.0087,437020.6453
348,1476.8956,72367.8844
572,280.9052,14045.2600
328,285.9519,7434.7494
359,1043.0087,433891.6192
479,5.6277,9634.6224
340,285.9519,4861.1823
582,618.4800,133591.6800
377,860.8787,148071.1364
570,280.9052,13483.4496
339,296.2834,12443.9028
491,12.4177,5078.8393
560,459.6992,37235.6352
579,459.6992,40453.5296
598,245.4103,14233.7974
484,4.9767,4518.8436
347,1487.8356,53562.0816
563,902.1321,142536.8718
327,296.2834,14814.1700
358,943.2882,156585.8412
489,12.4177,5054.0039
590,349.7116,48260.2008
383,394.7883,26450.8161
486,99.5340,24783.9660
564,902.1321,126298.4940
374,888.4021,126153.0982
231,11.4977,5081.9834
324,285.9519,4575.2304
586,280.9052,13483.4496
538,13.4527,14044.6188
387,394.7883,30398.6991
381,394.7883,28424.7576
583,618.4800,143487.3600
594,256.7721,12838.6050
485,13.7595,29183.8995
310,1406.9758,472743.8688
568,280.9052,16573.4068
217,21.9037,45669.2145
537,21.9100,30586.3600
326,285.9519,6290.9418
380,888.4021,111938.6646
314,1406.9758,415057.8610
565,280.9052,15449.7860
585,280.9052,14887.9756
343,296.2834,16591.8704
331,296.2834,12147.6194
234,11.4977,5196.9604
312,1406.9758,474150.8446
389,394.7883,28424.7576
361,1043.0087,445364.7149
589,349.7116,45112.7964
569,280.9052,16573.4068
320,285.9519,5433.0861
576,902.1321,132613.4187
356,953.5637,170687.9023
591,256.7721,11554.7445
237,11.4977,4748.5501
351,1476.8956,84183.0492
482,5.6277,1519.4790
390,407.4102,77000.5278
528,3.1237,9667.8515
214,21.9037,48845.2510
323,296.2834,10666.2024
338,285.9519,6004.9899
352,953.5637,165920.0838
335,296.2834,14221.6032
345,1487.8356,62489.0952
490,12.4177,4644.2198
595,256.7721,12325.0608
371,860.8787,148071.1364
382,407.4102,80667.2196
341,296.2834,12740.1862
334,285.9519,8006.6532
592,256.7721,11554.7445
488,12.4177,5041.5862
376,888.4021,139479.1297
378,888.4021,130595.1087
478,6.2537,12663.7425
228,11.4977,4932.5133
574,902.1321,135319.8150
354,953.5637,160198.7016
536,18.7737,21796.2657
370,924.5636,122966.9588
575,902.1321,144341.1360
541,18.1477,16968.0995
369,924.5636,149779.3032
567,280.9052,17977.9328
561,902.1321,155166.7212
600,245.4103,10061.8223
344,1487.8356,86294.4648
349,1476.8956,66460.3020
342,285.9519,9436.4127
373,860.8787,111053.3523
379,860.8787,123966.5328
337,296.2834,12740.1862
566,280.9052,16011.5964
529,2.4977,5934.5352
357,1054.3705,422802.5705
573,902.1321,159677.3817
571,280.9052,13202.5444
313,1406.9758,424906.6916
605,196.3404,71271.5652
535,15.6437,13484.8694
311,1406.9758,395360.1998
562,902.1321,136221.9471
584,196.3404,65577.6936
